"VALUE","MEANING"
8619,"aceitillo falso"
8620,"hoja menuda"
8622,"bullwood"
8623,"motillo"
8624,"bullwood"
8626,"Solanum bahamense"
8627,"mullein nightshade"
8629,"potatotree"
8632,"forest nightshade"
8633,"cakalaka berry"
8634,"tabacon aspero"
8636,"turkey berry"
8644,"African tuliptree"
8649,"Spondias dulcis"
8650,"yellow mombin"
8651,"Anacahuita Texas Olive"
8652,"purple mombin"
8654,"cobana negra"
8664,"Panama tree"
8666,"hazel sterculia"
8674,"palo de jazmin"
8676,"bay cedar"
8678,"mahogany"
8679,"Honduras mahogany"
8683,"nispero cimarron"
8684,"Martinique sweetleaf"
8685,"aceitunilla"
8701,"Syzygium jambos"
8702,"Malaysian apple"
8709,"roble amarillo"
8710,"primavera"
8712,"roble cimarron"
8713,"white cedar"
8715,"roble de sierra"
8716,"pink trumpet-tree"
8717,"roble colorado"
8720,"milkwood"
8727,"Athel tamarisk"
8743,"yellow trumpetbush"
8744,"teak"
8748,"tropical almond"
8750,"troipical almond"
8754,"Ivory Coast almond"
8756,"East Indian almond"
8757,"Peruvian almond"
8761,"superb terminalia"
8762,"saintedwood"
8763,"palo colorado"
8764,"copey vera"
8766,"mamey de cura"
8767,"el yunque colorado"
8768,"masa"
8778,"stinkingfish"
8780,"Puerto Rico clover ash"
8781,"krekre"
8783,"cenizo"
8784,"cacao"
8786,"maga"
8787,"Portia tree"
8789,"luckynut"
8793,"ceboruquillo"
8794,"Puerto Rico ceboruquillo"
8803,"Brazilian glorytree"
8811,"redcedar"
8812,"Australian redcedar"
8816,"boje"
8825,"cold withe"
8828,"Lamarck's trema"
8829,"Jamaican nettletree"
8833,"broomstick"
8834,"gaita"
8836,"bariaco"
8842,"limeberry"
8843,"Triplaris spp."
8844,"ant tree"
8848,"white ramoon"
8850,"muttonwood"
8853,"scratchbush"
8854,"flameberry"
8855,"ortiga"
8861,"voa vanga"
8871,"lilac chastetree"
8873,"higuerillo"
8881,"Wallenia lamarckiana"
8887,"bastard briziletto"
8901,"tallow wood"
8906,"mucha-gente"
8910,"spiny logwood"
8912,"white logwood"
8913,"Schwaneck's logwood"
8916,"aloe yucca"
8918,"moundlily yucca"
8919,"bluestem yucca"
8923,"Maricao pricklyash"
8924,"prickly yellow"
8928,"West Indian satinwood"
8931,"white pricklyash"
8932,"yellow prickle"
8934,"dotted pricklyash"
8935,"niaragato"
8937,"St. Thomas pricklyash"
8938,"Zapoteca portoricensis"
8939,"Indian jujube"
8940,"cacao rojo"
8941,"soana"
8943,"Taylor's jujube"
