"VALUE","MEANING"
694,"swamp tupelo"
701,"eastern hophornbeam"
711,"sourwood"
712,"paulownia, empress-tree"
720,"bay spp."
721,"redbay"
722,"water-elm, planertree"
729,"sycamore spp."
730,"California sycamore"
731,"American sycamore"
732,"Arizona sycamore"
740,"cottonwood and poplar spp."
741,"balsam poplar"
742,"eastern cottonwood"
743,"bigtooth aspen"
744,"swamp cottonwood"
745,"plains cottonwood"
746,"quaking aspen"
747,"black cottonwood"
748,"Fremont cottonwood"
749,"narrowleaf cottonwood"
752,"silver poplar"
753,"Lombardy poplar"
755,"mesquite spp."
756,"honey mesquite"
757,"velvet mesquite"
758,"screwbean mesquite"
760,"cherry and plum spp."
761,"pin cherry"
762,"black cherry"
763,"chokecherry"
764,"peach"
765,"Canada plum"
766,"American plum"
768,"bitter cherry"
769,"Allegheny plum"
770,"Chickasaw plum"
771,"sweet cherry, domesticated"
772,"sour cherry, domesticated"
773,"European plum, domesticated"
774,"Mahaleb cherry, domesticated"
800,"oak spp"
801,"California live oak"
802,"white oak"
803,"Arizona white oak"
804,"swamp white oak"
805,"canyon live oak"
806,"scarlet oak"
807,"blue oak"
808,"Durand oak"
809,"northern pin oak"
810,"Emory oak"
811,"Engelmann oak"
812,"southern red oak"
813,"cherrybark oak"
814,"Gambel oak"
815,"Oregon white oak"
816,"scrub oak"
817,"shingle oak"
818,"California black oak"
819,"turkey oak"
820,"laurel oak"
821,"California white oak"
822,"overcup oak"
823,"bur oak"
824,"blackjack oak"
825,"swamp chestnut oak"
826,"chinkapin oak"
827,"water oak"
828,"Texas red oak"
829,"Mexican blue oak"
830,"pin oak"
831,"willow oak"
832,"chestnut oak"
833,"northern red oak"
834,"Shumard oak"
835,"post oak"
836,"Delta post oak"
837,"black oak"
838,"live oak"
839,"interior live oak"
840,"dwarf post oak"
841,"dwarf live oak"
842,"bluejack oak"
843,"silverleaf oak"
844,"Oglethorpe oak"
845,"dwarf chinkapin oak"
846,"gray oak"
847,"netleaf oak"
851,"Chisos oak"
852,"sea torchwood"
853,"pond-apple"
854,"gumbo limbo"
855,"sheoak spp."
856,"gray sheoak"
857,"belah"
858,"camphortree"
859,"Florida fiddlewood"
860,"citrus spp."
863,"tietongue, pigeon-plum"
864,"soldierwood"
865,"largeleaf geigertree"
866,"carrotwood"
867,"Bluewood"
868,"Blackbead ebony"
869,"Great leucaene"
870,"Texas sophora"
873,"red stopper"
874,"butterbough, inkwood"
876,"Florida strangler fig"
877,"wild banyantree, shortleaf fig"
882,"beeftree, longleaf blolly"
883,"manchineel"
884,"false tamarind"
885,"mango"
886,"Florida poisontree"
887,"fishpoison tree"
888,"octopus tree, schefflera"
890,"false mastic"
891,"white bully, willow bustic"
895,"paradisetree"
896,"Java plum"
897,"tamarind"
901,"black locust"
902,"New Mexico locust"
906,"Everglades palm, paurotis-palm"
907,"Florida silver palm"
908,"coconut palm"
909,"royal palm spp."
911,"Mexican palmetto"
912,"cabbage palmetto"
913,"key thatch palm"
914,"Florida thatch palm"
915,"other palms"
919,"western soapberry"
920,"willow spp."
921,"peachleaf willow"
922,"black willow"
923,"Bebb willow"
924,"Bonpland willow"
925,"coastal plain willow"
926,"balsam willow"
927,"white willow"
928,"Scouler's willow"
929,"weeping willow"
931,"sassafras"
934,"mountain-ash spp."
935,"American mountain-ash"
936,"European mountain-ash"
937,"northern mountain-ash"
940,"West Indian mahogany"
950,"basswood spp."
951,"American basswood"
952,"white basswood"
953,"Carolina basswood"
970,"elm spp."
971,"winged elm"
972,"American elm"
973,"cedar elm"
974,"Siberian elm"
975,"slippery elm"
976,"September elm"
977,"rock elm"
981,"California-laurel"
982,"Joshua tree"
986,"black-mangrove"
987,"buttonwood-mangrove"
988,"white-mangrove"
989,"American mangrove"
990,"desert ironwood"
991,"saltcedar"
992,"melaleuca"
993,"chinaberry"
994,"Chinese tallowtree"
995,"tungoil tree"
996,"smoketree"
997,"Russian-olive"
998,"Unknown dead hardwood"
999,"Other or unknown live tree"
5091,"Washington hawthorn"
5092,"fleshy hawthorn"
5093,"dwarf hawthorn"
5491,"Berlandier ash"
6001,"blackbrush wattle"
6008,"porknut"
6009,"Acacia mangium"
6012,"spineless wattle"
6013,"gum arabic tree"
6015,"Acacia polyacantha"
6018,"poponax"
6021,"hollowheart"
6023,"grugru palm"
6025,"baobab"
6026,"wild lime"
6028,"red beadtree"
6032,"Caribbean spiritweed"
6036,"kauri"
6037,"Queensland kauri"
6053,"Aiphanes minima"
6055,"cream albizia"
6056,"naked albizia"
6059,"woman's tongue"
6060,"tall albizia"
6064,"achiotillo"
6066,"palo de gallina"
6075,"Indian walnut"
6080,"palo blanco"
6082,"palo de caja"
6092,"helecho gigante de la sierra"
6093,"Alsophila portoricensis"
6101,"black calabash"
6103,"balsam torchwood"
6106,"anacardium"
6107,"cashew"
6111,"Anadenanthera peregrina"
6114,"cabbagebark tree"
6120,"canelillo"
6124,"Annona cherimola"
6125,"ilama"
6127,"mountain soursop"
6128,"soursop"
6129,"custard apple"
6131,"sugar apple"
6137,"Antidesma bunius"
6146,"placa chiquitu"
6147,"pegwood"
6149,"palo iloron"
6150,"quina roja"
6151,"Puerto Rico quina"
6152,"Sintenis' quina"
6154,"parana pine"
6157,"Norfolk Island pine"
6162,"ausubon"
6163,"mountain marlberry"
6164,"Guadeloupe marlberry"
6165,"China-shrub"
6171,"breadfruit"
6173,"Artocarpus heterophyllus"
6198,"carambola"
6206,"neem"
6216,"common bamboo"
6217,"Puerto Rico palo de ramon"
6219,"Vanderbilt's palo de ramon"
6220,"sea putat"
6224,"Bastardiopsis eggersii"
6226,"Napoleon's plume"
6227,"petite flamboyant bauhinia"
6228,"railroadfence"
6229,"butterfly tree"
6231,"St. Thomas tree"
6232,"mountain ebony"
6233,"slugwood"
6235,"Caribbean myrtlecroton"
6238,"lipsticktree"
6240,"akee"
6247,"parrotweed"
6251,"white alling"
6253,"Bourreria radula"
6255,"bodywood"
6257,"roble de guayo"
6270,"West Indian sumac"
6272,"American brunfelsia"
6273,"Serpentine Hill raintree"
6274,"vega blanca"
6275,"Puerto Rico raintree"
6283,"fourleaf buchenavia"
6284,"gregorywood"
6294,"cafe falso"
6295,"cafe forastero"
6297,"Bunchosia polystachia"
6303,"Buxus laevigata"
6304,"Puerto Rico box"
6306,"Vahl's box"
6308,"maricao cimun"
6311,"Long Key locustberry"
6313,"doncella"
6315,"almendrillo"
6316,"nicker"
6317,"divi divi"
6319,"pride-of-Barbados"
6320,"sappanwood"
6325,"Surinamese stickpea"
6326,"caparosa"
6328,"crimson bottlebrush"
6331,"Callitris columellaris"
6337,"Caloncoba echinata"
6338,"Antilles calophyllum"
6341,"Alexandrian laurel"
6346,"roostertree"
6350,"degame"
6351,"Kiaerskov's lidflower"
6352,"limoncillo"
6353,"Luquillo forest lidflower"
6354,"pale lidflower"
6355,"Puerto Rico lidflower"
6356,"limoncillo de monte"
6358,"Thomas' lidflower"
6359,"myrtle of the river"
6360,"Puerto Rico manac"
6370,"ilang-ilang"
